Sample,# Input reads,# Trimmed reads (fastp),% Non-host reads (Kraken 2),% Mapped reads,# Mapped reads,# Trimmed reads (iVar),Coverage median,% Coverage > 1x,% Coverage > 10x,# SNPs,# INDELs,# Missense variants,# Ns per 100kb consensus,Pangolin lineage,Nextclade clade
Hyena1_20211028,797388,642092,99.69723964790093,97.85,628271,625450,4186,100.0,100.0,47,3,33,421.55,AY.20,NA
Hyena1_20211028_R,759214,647252,99.89833944120683,98.12,635087,633668,4075,100.0,100.0,47,3,33,421.55,AY.20,NA
Hyena2_20211028,709142,537924,99.99256400532417,99.94,537585,536986,3548,100.0,100.0,48,3,34,421.55,AY.20,NA
Hyena2_20211028_R,666370,569776,99.99122462160568,99.91,569240,568454,3839,100.0,100.0,48,3,34,421.55,AY.20,NA
Hyena2_20211102,670190,560862,99.99714724834273,99.95,560575,560027,3740,100.0,100.0,47,3,33,421.55,AY.20,NA
Hyena2_20211102_R,690640,593646,99.99124057098001,99.92,593163,592360,4051,100.0,100.0,48,3,34,421.55,AY.20,NA
Hyena2_20211104,706630,533764,99.9636543491131,99.56,531414,530233,3642,100.0,100.0,47,3,33,421.55,AY.20,NA
Hyena2_20211104_R,711382,584476,99.96338600729541,99.65,582446,581457,3997,100.0,100.0,48,3,34,421.55,AY.20,NA
Hyena2_20211110,624028,506280,99.72584340681047,97.49,493592,491711,2687,100.0,98.0,52,5,35,2127.8,AY.20,NA
Hyena2_20211110_R,650776,555102,99.67105144640084,96.72,536899,534237,2825,99.0,99.0,54,5,39,1120.55,AY.20,NA
Hyena4_20211122,655892,389986,99.6051140297344,98.92,385775,385286,1010,82.0,80.0,40,5,27,19986.62,AY.20,NA
Hyena4_20211122_R,614828,488520,99.43461884876771,98.92,483267,482749,936,77.0,76.0,35,6,26,24282.37,AY.20,NA
Lion10_20211014,489912,436612,99.998625782159,100.0,436598,436120,2955,100.0,100.0,43,3,29,421.55,AY.20,NA
Lion10_20211014_R,395056,357698,99.99944086911306,100.0,357694,357337,2443,100.0,100.0,43,3,29,421.55,AY.20,NA
Lion10_20211021,517078,449482,99.99644034688819,99.99,449434,449011,2979,100.0,100.0,43,3,29,421.55,AY.20,NA
Lion10_20211021_R,430716,374028,99.99732640337086,99.99,374004,373583,2531,100.0,100.0,43,3,29,421.55,AY.20,NA
Lion10_20211026,351516,305402,99.9967256272061,99.94,305234,304690,2037,100.0,99.0,43,3,29,809.64,AY.20,NA
Lion10_20211026_R,361880,313668,99.9904357473507,99.95,313518,313065,2068,100.0,100.0,43,3,29,421.55,AY.20,NA
Lion10_20211029,399738,343148,99.85370743818993,99.47,341344,340270,2053,100.0,98.0,46,5,31,2341.92,AY.20,NA
Lion10_20211029_R,332442,291602,99.78395209909398,99.08,288930,286636,1356,99.0,97.0,46,3,29,3094.06,AY.20,NA
Lion10_20211115,336872,210028,98.58114156207743,97.11,203967,202462,NA,49.0,46.0,23,3,15,54140.19,B.1.617.2,NA
Lion10_20211115_R,374624,324640,98.29287826515525,95.42,309769,305927,13,53.0,50.0,28,5,22,49939.78,B.1.617.2,NA
Lion11_20211014,445276,399766,99.99449678061666,99.99,399719,399299,2726,100.0,100.0,43,3,29,421.55,AY.20,NA
Lion11_20211014_R,335120,299806,99.99599741165954,99.99,299776,299466,1990,100.0,100.0,43,3,29,421.55,AY.20,NA
Lion11_20211021,330852,300770,99.99933504006384,99.99,300754,300459,2061,100.0,100.0,43,3,29,421.55,AY.20,NA
Lion11_20211021_R,312378,276164,99.9985515852899,99.99,276145,275871,1910,100.0,100.0,43,3,29,421.55,AY.20,NA
Lion11_20211026,508202,461560,99.99176705087096,99.94,461299,460711,3092,100.0,100.0,44,3,30,421.55,AY.20,NA
Lion11_20211026_R,402978,357212,99.98880216790029,99.94,357008,356616,2380,100.0,100.0,44,3,30,421.46,AY.20,NA
Lion11_20211029,423104,365050,99.96603205040405,99.79,364273,363525,2441,100.0,99.0,43,3,29,1224.49,AY.20,NA
Lion11_20211029_R,351914,313356,99.98404370747647,99.85,312882,312351,2136,99.0,99.0,44,3,30,1224.24,AY.20,NA
Lion11_20211104,497984,299218,99.52275598393145,97.61,292066,289585,1,50.0,47.0,31,6,21,52993.31,B.1.617.2,NA
Lion11_20211104_R,416610,373582,99.39397508445268,97.59,364580,358882,NA,37.0,34.0,19,4,11,65548.61,Unassigned,NA
Lion1_20211014,802036,685286,99.99912445314803,100.0,685269,684729,4550,100.0,100.0,44,3,30,297.76,AY.20,NA
Lion1_20211014_R,795080,663018,99.99939669812886,100.0,662995,662388,4428,100.0,100.0,44,3,30,297.76,AY.20,NA
Lion1_20211021,645500,535322,99.98953900642977,99.8,534236,532713,3644,100.0,100.0,45,3,31,421.55,AY.20,NA
Lion1_20211021_R,749440,643724,99.98695092928025,99.94,643310,642376,4404,100.0,100.0,44,3,30,421.55,AY.20,NA
Lion1_20211026,750668,491094,99.91162588017772,99.67,489485,488447,3403,100.0,100.0,44,3,30,421.55,AY.20,NA
Lion1_20211026_R,829342,679254,99.96083939145002,99.49,675770,673854,4616,100.0,100.0,45,3,31,421.55,AY.20,NA
Lion1_20211029,865172,701368,99.66779208632272,98.61,691586,687062,2384,88.0,86.0,41,4,30,14432.92,AY.20,NA
Lion1_20211029_R,669954,465596,99.87242158437788,99.59,463685,461076,1748,91.0,89.0,44,6,30,10763.16,AY.20,NA
