Accession ID	Collection date	Submission date	Location
EPI_ISL_10253419	1/3/22	2/23/22	North America / USA / Colorado
EPI_ISL_11435394	12/30/21	3/26/22	North America / USA / Colorado
EPI_ISL_12028065	12/29/21	4/13/22	North America / USA / Colorado
EPI_ISL_12028177	12/9/21	4/13/22	North America / USA / Colorado
EPI_ISL_12034912	12/11/21	4/13/22	North America / USA / Colorado
EPI_ISL_12088892	12/28/21	4/16/22	North America / USA / Colorado
EPI_ISL_12137447	12/9/21	4/19/22	North America / USA / Colorado
EPI_ISL_12575010	10/28/21	5/8/22	North America / USA / Colorado
EPI_ISL_12575271	1/3/22	5/8/22	North America / USA / Colorado
EPI_ISL_12656762	1/1/22	5/12/22	North America / USA / Colorado
EPI_ISL_12800466	11/18/21	5/19/22	North America / USA / Colorado
EPI_ISL_12800814	10/27/21	5/19/22	North America / USA / Colorado
EPI_ISL_12802843	10/28/21	5/19/22	North America / USA / Colorado
EPI_ISL_18520418	9/7/21	11/19/23	North America / USA / Colorado / Colorado
EPI_ISL_2875148	6/23/21	7/9/21	North America / USA / Colorado
EPI_ISL_2929773	6/28/21	7/13/21	North America / USA / Colorado
EPI_ISL_3065085	6/25/21	7/24/21	North America / USA / Colorado
EPI_ISL_3065473	7/9/21	7/24/21	North America / USA / Colorado
EPI_ISL_3110834	7/9/21	7/28/21	North America / USA / Colorado
EPI_ISL_3110883	7/8/21	7/28/21	North America / USA / Colorado
EPI_ISL_3114442	7/1/21	7/28/21	North America / USA / Colorado
EPI_ISL_3328515	7/1/21	8/10/21	North America / USA / Colorado
EPI_ISL_3331143	7/19/21	8/10/21	North America / USA / Colorado
EPI_ISL_3395028	7/23/21	8/13/21	North America / USA / Colorado
EPI_ISL_3395222	7/25/21	8/13/21	North America / USA / Colorado
EPI_ISL_3395317	7/23/21	8/13/21	North America / USA / Colorado
EPI_ISL_3427181	7/14/21	8/16/21	North America / USA / Colorado
EPI_ISL_3427367	7/14/21	8/16/21	North America / USA / Colorado
EPI_ISL_3427630	7/17/21	8/16/21	North America / USA / Colorado
EPI_ISL_3427677	7/18/21	8/16/21	North America / USA / Colorado
EPI_ISL_3428648	7/26/21	8/16/21	North America / USA / Colorado
EPI_ISL_3428907	7/29/21	8/16/21	North America / USA / Colorado
EPI_ISL_3516714	7/22/21	8/19/21	North America / USA / Colorado
EPI_ISL_3518096	7/28/21	8/20/21	North America / USA / Colorado
EPI_ISL_3602978	7/30/21	8/23/21	North America / USA / Colorado
EPI_ISL_3603418	7/31/21	8/23/21	North America / USA / Colorado
EPI_ISL_3603459	7/31/21	8/23/21	North America / USA / Colorado
EPI_ISL_3603481	7/30/21	8/23/21	North America / USA / Colorado
EPI_ISL_3603542	7/31/21	8/23/21	North America / USA / Colorado
EPI_ISL_3603564	7/31/21	8/23/21	North America / USA / Colorado
EPI_ISL_3603606	7/31/21	8/23/21	North America / USA / Colorado
EPI_ISL_3603747	7/30/21	8/23/21	North America / USA / Colorado
EPI_ISL_3603759	8/1/21	8/23/21	North America / USA / Colorado
EPI_ISL_3603869	8/2/21	8/23/21	North America / USA / Colorado
EPI_ISL_3604412	8/4/21	8/23/21	North America / USA / Colorado
EPI_ISL_3604516	8/2/21	8/23/21	North America / USA / Colorado
EPI_ISL_3610176	8/6/21	8/23/21	North America / USA / Colorado
EPI_ISL_3610186	8/6/21	8/23/21	North America / USA / Colorado
EPI_ISL_3661404	8/11/21	8/24/21	North America / USA / Colorado
EPI_ISL_3661469	8/12/21	8/24/21	North America / USA / Colorado
EPI_ISL_3686538	7/22/21	8/25/21	North America / USA / Colorado
EPI_ISL_3740283	8/11/21	8/27/21	North America / USA / Colorado
EPI_ISL_3751111	8/9/21	8/27/21	North America / USA / Colorado
EPI_ISL_3760631	7/12/21	8/28/21	North America / USA / Colorado
EPI_ISL_3814416	7/26/21	8/31/21	North America / USA / Colorado
EPI_ISL_3843065	7/8/21	9/1/21	North America / USA / Colorado
EPI_ISL_3861484	8/5/21	9/1/21	North America / USA / Colorado
EPI_ISL_3864296	8/5/21	9/1/21	North America / USA / Colorado
EPI_ISL_3864474	8/5/21	9/1/21	North America / USA / Colorado
EPI_ISL_3864610	8/6/21	9/1/21	North America / USA / Colorado
EPI_ISL_3864929	8/7/21	9/1/21	North America / USA / Colorado
EPI_ISL_3864991	8/5/21	9/1/21	North America / USA / Colorado
EPI_ISL_3988482	7/20/21	9/7/21	North America / USA / Colorado
EPI_ISL_3988779	7/14/21	9/7/21	North America / USA / Colorado
EPI_ISL_3988944	7/27/21	9/7/21	North America / USA / Colorado
EPI_ISL_4020865	8/2/21	9/8/21	North America / USA / Colorado
EPI_ISL_4021840	8/18/21	9/8/21	North America / USA / Colorado
EPI_ISL_4058761	8/5/21	9/9/21	North America / USA / Colorado
EPI_ISL_4059124	7/20/21	9/9/21	North America / USA / Colorado
EPI_ISL_4059160	7/19/21	9/9/21	North America / USA / Colorado
EPI_ISL_4079441	7/29/21	9/10/21	North America / USA / Colorado
EPI_ISL_4139407	8/20/21	9/13/21	North America / USA / Colorado
EPI_ISL_4139408	8/20/21	9/13/21	North America / USA / Colorado
EPI_ISL_4139554	8/20/21	9/13/21	North America / USA / Colorado
EPI_ISL_4163474	8/21/21	9/13/21	North America / USA / Colorado
EPI_ISL_4167598	8/17/21	9/14/21	North America / USA / Colorado
EPI_ISL_4181096	8/20/21	9/14/21	North America / USA / Colorado
EPI_ISL_4185423	8/11/21	9/14/21	North America / USA / Colorado
EPI_ISL_4196122	8/9/21	9/15/21	North America / USA / Colorado
EPI_ISL_4196156	8/9/21	9/15/21	North America / USA / Colorado
EPI_ISL_4196449	8/10/21	9/15/21	North America / USA / Colorado
EPI_ISL_4207156	7/20/21	9/15/21	North America / USA / Colorado
EPI_ISL_4237547	8/7/21	9/16/21	North America / USA / Colorado
EPI_ISL_4237653	8/8/21	9/16/21	North America / USA / Colorado
EPI_ISL_4237707	8/7/21	9/16/21	North America / USA / Colorado
EPI_ISL_4237787	8/2/21	9/16/21	North America / USA / Colorado
EPI_ISL_4244022	9/1/21	9/16/21	North America / USA / Colorado
EPI_ISL_4251590	7/22/21	9/16/21	North America / USA / Colorado
EPI_ISL_4259699	8/4/21	9/17/21	North America / USA / Colorado
EPI_ISL_4259886	8/4/21	9/17/21	North America / USA / Colorado
EPI_ISL_4260029	8/7/21	9/17/21	North America / USA / Colorado
EPI_ISL_4260188	8/7/21	9/17/21	North America / USA / Colorado
EPI_ISL_4260233	8/6/21	9/17/21	North America / USA / Colorado
EPI_ISL_4260257	8/6/21	9/17/21	North America / USA / Colorado
EPI_ISL_4260266	8/7/21	9/17/21	North America / USA / Colorado
EPI_ISL_4276413	7/26/21	9/17/21	North America / USA / Colorado
EPI_ISL_4276628	7/27/21	9/17/21	North America / USA / Colorado
EPI_ISL_4276706	7/27/21	9/17/21	North America / USA / Colorado
EPI_ISL_4276789	7/27/21	9/17/21	North America / USA / Colorado
EPI_ISL_4276947	7/28/21	9/17/21	North America / USA / Colorado
EPI_ISL_4301199	8/3/21	9/19/21	North America / USA / Colorado
EPI_ISL_4343606	9/2/21	9/20/21	North America / USA / Colorado
EPI_ISL_4358817	9/7/21	9/21/21	North America / USA / Colorado
EPI_ISL_4361466	7/23/21	9/21/21	North America / USA / Colorado
EPI_ISL_4362042	7/23/21	9/21/21	North America / USA / Colorado
EPI_ISL_4371867	8/17/21	9/21/21	North America / USA / Colorado
EPI_ISL_4380264	9/1/21	9/21/21	North America / USA / Colorado
EPI_ISL_4474781	8/6/21	9/24/21	North America / USA / Colorado
EPI_ISL_4506874	8/11/21	9/25/21	North America / USA / Colorado
EPI_ISL_4507042	8/21/21	9/25/21	North America / USA / Colorado
EPI_ISL_4507048	8/21/21	9/25/21	North America / USA / Colorado
EPI_ISL_4507050	8/19/21	9/25/21	North America / USA / Colorado
EPI_ISL_4507072	8/14/21	9/25/21	North America / USA / Colorado
EPI_ISL_4507074	8/11/21	9/25/21	North America / USA / Colorado
EPI_ISL_4507119	8/10/21	9/25/21	North America / USA / Colorado
EPI_ISL_4507276	8/21/21	9/25/21	North America / USA / Colorado
EPI_ISL_4507302	8/20/21	9/25/21	North America / USA / Colorado
EPI_ISL_4511991	8/31/21	9/25/21	North America / USA / Colorado
EPI_ISL_4512089	9/3/21	9/25/21	North America / USA / Colorado
EPI_ISL_4512090	8/26/21	9/25/21	North America / USA / Colorado
EPI_ISL_4512130	8/27/21	9/25/21	North America / USA / Colorado
EPI_ISL_4512384	8/27/21	9/25/21	North America / USA / Colorado
EPI_ISL_4512385	8/27/21	9/25/21	North America / USA / Colorado
EPI_ISL_4512450	8/25/21	9/25/21	North America / USA / Colorado
