dataset_ID,file,product,N_diffs,S_diffs,N_diffs_vs_ref,S_diffs_vs_ref,N_sites,S_sites,piN,piS,mean_dN_vs_ref,mean_dS_vs_ref,mean_gdiv_polymorphic,mean_N_gdiv,mean_S_gdiv,replicate,ID_rep
Hyena1_20211028,Hyena1_20211028_R,E,0,0,0,0,164.166666666667,60.8333333333334,0,0,0,0,*,*,*,2,Hyena1_20211028_R
Hyena1_20211028,Hyena1_20211028_R,M,0,0,1,0,502,164,0,0,0.00199203187250996,0,0,*,*,2,Hyena1_20211028_R
Hyena1_20211028,Hyena1_20211028_R,N,1.07094625519635,0.000807755052419613,5.808997,0.999596,959.086026666664,297.913973333333,0.00111663211163493,2.71137014280234e-06,0.00605680495647441,0.00335531760667554,0.13394969710625,0.152969986183143,0.000807673567999823,2,Hyena1_20211028_R
Hyena1_20211028,Hyena1_20211028_R,ORF10,0,0,0,0,87.6666666666667,26.3333333333333,0,0,0,0,*,*,*,2,Hyena1_20211028_R
Hyena1_20211028,Hyena1_20211028_R,ORF3a,0.00169074742629118,0,0.999154,0,628.666384666667,196.333615333334,2.68941916973604e-06,0,0.00158932308831778,0,0.00169056856799998,0.00169056856799998,*,2,Hyena1_20211028_R
Hyena1_20211028,Hyena1_20211028_R,ORF6,0,0,0,0,146,37,0,0,0,0,*,*,*,2,Hyena1_20211028_R
Hyena1_20211028,Hyena1_20211028_R,ORF7a,0.00145968188863106,0,1.99927,0,274.666553,88.333447,5.31437800739817e-06,0,0.00727889864333063,0,0.000729732398000005,0.000729732398000005,*,2,Hyena1_20211028_R
Hyena1_20211028,Hyena1_20211028_R,ORF8,0,0,0,0,280.5,82.5,0,0,0,0,*,*,*,2,Hyena1_20211028_R
Hyena1_20211028,Hyena1_20211028_R,S,0.310013682916219,0,9.148701,1,2928.45540866666,890.544591333337,0.000105862524660182,0,0.00312407044782883,0.00112290839754895,0.0238399373512307,0.0258265987971666,*,2,Hyena1_20211028_R
Hyena1_20211028,Hyena1_20211028_R,ORF1ab,1.53193965838383,0.388298027530202,11.188498,5.193848,16372.1771914995,4915.71383049998,9.35696969599876e-05,7.89911782742461e-05,0.000683384858906188,0.0010565806267595,0.0619241145796129,0.0765756880298,0.0388133791372,2,Hyena1_20211028_R
Hyena1_20211028,Hyena1_20211028,E,0,0,0,0,164.166666666667,60.8333333333334,0,0,0,0,*,*,*,1,Hyena1_20211028
Hyena1_20211028,Hyena1_20211028,M,0.000389961995072802,0,0.999805,0,502.000065,163.999935,7.76816622668768e-07,0,0.00199164316841274,0,0.000389923950000037,0.000389923950000037,*,1,Hyena1_20211028
Hyena1_20211028,Hyena1_20211028,N,0.988978993153749,0.000751787858299541,5.853614,0.999624,959.082431166664,297.917568833333,0.00103117204633883,2.52347607844545e-06,0.00610334816881114,0.00335537109783287,0.123699368942,0.141263319184,0.00075171724800005,1,Hyena1_20211028
Hyena1_20211028,Hyena1_20211028,ORF10,0,0,0,0,87.6666666666667,26.3333333333333,0,0,0,0,*,*,*,1,Hyena1_20211028
